("NGC 2573","Gx","25.5","-89.33333333","302.76702969","-27.778663","C","Oct","","3.6","13.5","","F, S, R, glbM, Polarissima Australis","6700","");
("NGC 6438","Gx","276.5","-85.41666667","308.02437416","-26.52883629","S","Oct","","2.6","13","p","pB, R, vgbM","6700","");
("IC 4333","Gx","211.25","-84.26666667","304.87548556","-21.67460583","C","Oct","","1.7","","","eF, vS, eE 40deg , susp","6700","");
("NGC 1841","Gb","71.25","-84","297.02303714","-30.14863349","R","Men","","","12","p","pF, L, iR, vsbM, r","3080","");
("IC 2051","Gx","58","-83.83333333","297.81467093","-31.38466087","C","Men","","2.6","","","! vF, vS, stell N ellipt ring","6700","");
("IC 4499","Gb","225.075","-82.21666667","307.35185968","-20.47567861","S","Aps","","7.6","10.6","","Cl, vF, 4' diam; 3 F st in neb?","3080","");
("NGC 2144","Gx","85.25","-82.11666667","294.31472596","-29.24882101","C","Men","","1.6","","","F, pS, iR, bM","6700","");
("NGC 7637","Gx","351.625","-81.91666667","306.47988435","-34.61790781","C","Oct","","2.5","","","vF, pL, R, vlbM, * nr","6700","");
("IC 4545","Gx","235.375","-81.63333333","308.9713241","-20.83495289","C","Aps","","2","","","eeF, eS, mE 145deg , bet 2 vF st, susp","6700","");
("NGC 3195","Pl","152.375","-80.86666667","296.63383962","-20.04482765","S","Cha","","0.6","","","! PN , pB, S, lE, 13s  d, 3 S st nr","3560","");
("NGC 3149","Gx","150.95","-80.41666667","296.14266268","-19.83754166","C","Cha","","2.1","","","F, S, lE, vlbM, *15 inv","6700","");
("IC 4647","Gx","261.5","-80.2","312.86407755","-23.21338625","C","Aps","","1.7","","","bM","6700","");
("IC 4641","Gx","261.05","-80.15","312.8766569","-23.12248771","C","Aps","","1.6","","","eF, vS, bM","6700","");
("IC 4640","Gx","260.975","-80.06666667","312.95185717","-23.07426201","C","Aps","","1.5","","","vF, eS, cbM","6700","");
("NGC 6920","Gx","310.975","-80","313.27537554","-31.45882847","C","Oct","","1.8","","","pB, cS, R, psmbM","6700","");
("NGC 2012","Gx","80.65","-79.85","292.01245692","-30.53946254","C","Men","","1.5","","","vF, S, lE, bM, 2 st 9 nf","6700","");
("IC 2884","U","171.925","-79.73333333","299.1035405","-17.48951897","D","Cha","","","","","eeF, eS, cE 145deg , susp","9999","");
("IC 3104","Gx","184.7","-79.73333333","301.41650728","-16.95774533","C","Cha","","4.7","","","eeF, cS, or vS Cl, *12 sp 0'.5","6700","");
("IC 4448","Gx","220.125","-78.81666667","308.26560084","-17.09108027","C","Aps","","1","","","!! F, vS, annul, * in M","6700","");
("NGC 5612","Gx","218.525","-78.4","308.14550647","-16.58095266","S","Aps","","2","13","p","vF, E, gbM, r","6700","");
("IC 2054","U","61.8","-78.25","292.20221762","-34.43522094","D","Men","","","","","eeF, eS, vF* 1' nf, susp","9999","");
("IC 4555","Gx","237.075","-78.18333333","311.58796193","-18.40284936","C","Aps","","1.9","","","vF, vS, eE 55deg , bM","6700","");
("IC 5026","Gx","312.125","-78.06666667","315.27012565","-32.41799204","C","Oct","","2.5","","","eF, vS, mE 70deg , lbM, susp","6700","");
